Crop,Disease Name,Disease Type,Symptoms,Causes,Management,Stage Impact,Treatment Plan (Weather-Based),Stage-Based Fertilizer,AI Reasoning,Yield Impact
Corn (Maize),Common Rust,Fungal,"Small reddish-brown pustules appear scattered across leaf surfaces, eventually bursting and spreading spores. Leaves turn yellow and dry prematurely, reducing photosynthesis significantly.",Caused by Puccinia sorghi under moderate temperatures (15–25°C) and high humidity (>70%). Wind spreads spores rapidly across fields.,"Use resistant varieties, ensure crop rotation, and remove infected residues to reduce spread.",Seedling: Low impact; Vegetative: Moderate; Flowering: High; Fruiting: Severe yield reduction,Apply neem oil if humidity >70% and no rain forecast. Use bio-fungicide when temp is stable (20–25°C). Avoid spraying if rainfall >5mm expected.,Vegetative: Vermicompost; Flowering: Bone meal; Fruiting: Wood ash,Humidity increased from 65% to 80% creating ideal fungal growth conditions.,Expected 20–35% yield loss if untreated at flowering stage
Corn (Maize),Northern Leaf Blight,Fungal,"Northern Leaf Blight shows progressive damage including lesions, discoloration, and tissue decay unique to Corn (Maize).","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Grape,Black Rot,Fungal,"Black Rot shows progressive damage including lesions, discoloration, and tissue decay unique to Grape.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Grape,Esca (Black Measles),Fungal,"Esca (Black Measles) shows progressive damage including lesions, discoloration, and tissue decay unique to Grape.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Grape,Leaf Blight,Fungal,"Leaf Blight shows progressive damage including lesions, discoloration, and tissue decay unique to Grape.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Potato,Early Blight,Fungal,"Early Blight shows progressive damage including lesions, discoloration, and tissue decay unique to Potato.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Potato,Late Blight,Fungal,"Late Blight shows progressive damage including lesions, discoloration, and tissue decay unique to Potato.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Rice,Bacterial Leaf Blight,Bacterial,"Bacterial Leaf Blight shows progressive damage including lesions, discoloration, and tissue decay unique to Rice.","Bacterial infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Rice,Brown Spot,Fungal,"Brown Spot shows progressive damage including lesions, discoloration, and tissue decay unique to Rice.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Rice,Leaf Smut,Fungal,"Leaf Smut shows progressive damage including lesions, discoloration, and tissue decay unique to Rice.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Tomato,Bacterial Spot,Bacterial,"Bacterial Spot shows progressive damage including lesions, discoloration, and tissue decay unique to Tomato.","Bacterial infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Tomato,Early Blight,Fungal,"Early Blight shows progressive damage including lesions, discoloration, and tissue decay unique to Tomato.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Tomato,Late Blight,Fungal,"Late Blight shows progressive damage including lesions, discoloration, and tissue decay unique to Tomato.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Tomato,Leaf Mold,Fungal,"Leaf Mold shows progressive damage including lesions, discoloration, and tissue decay unique to Tomato.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Tomato,Septoria Leaf Spot,Fungal,"Septoria Leaf Spot shows progressive damage including lesions, discoloration, and tissue decay unique to Tomato.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Tomato,Spider Mites,Pest,"Spider Mites shows progressive damage including lesions, discoloration, and tissue decay unique to Tomato.","Pest infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
Tomato,Target Spot,Fungal,"Target Spot shows progressive damage including lesions, discoloration, and tissue decay unique to Tomato.","Fungal infection triggered by environmental imbalance like humidity, temperature fluctuation, and poor field conditions.","Integrated management using sanitation, monitoring, and biological control methods.",Seedling: Low; Vegetative: Moderate; Flowering: High; Fruiting: Critical,Apply treatment only if humidity threshold crossed and avoid rain periods. Prefer morning application.,Stage-based organic fertilizers applied based on crop cycle.,Recent environmental conditions favor pathogen development.,Yield reduction depends on stage and severity (approx 15–60%).
