crop,year,season,state,area,production,fertilizer,pesticide,yield
maize,1997,Kharif     ,Assam,19216.0,14721,1828786.72,5956.96,0.615652174
potato,1997,Whole Year ,Assam,75259.0,671871,7162399.03,23330.29,7.561304348
rice,1997,Autumn     ,Assam,607358.0,398311,57802260.86,188280.98,0.780869565
rice,1997,Summer     ,Assam,174974.0,209623,16652275.58,54241.94,1.060434783
rice,1997,Winter     ,Assam,1743321.0,1647296,165911859.6,540429.51,0.941304348
potato,1997,Whole Year ,Assam,9380.0,32618,892694.6,2907.8,3.440434783
maize,1997,Kharif     ,Karnataka,502797.0,1391132,47851190.49,155867.07,2.687777778
maize,1997,Rabi       ,Karnataka,48844.0,98932,4648483.48,15141.64,1.98
maize,1997,Summer     ,Karnataka,9730.0,20893,926004.1,3016.3,2.165714286
rice,1997,Kharif     ,Karnataka,1031530.0,2340493,98170710.1,319774.3,2.2335
rice,1997,Rabi       ,Karnataka,53889.0,109350,5128616.13,16705.59,2.073846154
rice,1997,Summer     ,Karnataka,268044.0,762759,25509747.48,83093.64,2.829444444
maize,1997,Kharif     ,Meghalaya,17175.0,24878,1634544.75,5324.25,1.444285714
potato,1997,Whole Year ,Meghalaya,20764.0,200509,1976109.88,6436.84,8.641428571
rice,1997,Kharif     ,Meghalaya,105170.0,150101,10009028.9,32602.7,1.378571429
potato,1997,Whole Year ,Meghalaya,5212.0,16978,496026.04,1615.72,3.221428571
maize,1997,Whole Year ,West Bengal,35469.0,130390,3375584.73,10995.39,2.658461538
potato,1997,Whole Year ,West Bengal,284015.0,5581553,27029707.55,88044.65,18.23722222
rice,1997,Autumn     ,West Bengal,423121.0,751970,40268425.57,131167.51,1.837222222
rice,1997,Summer     ,West Bengal,1206829.0,3569520,114853915.9,374116.99,2.843888889
rice,1997,Winter     ,West Bengal,4270328.0,8915100,406407115.8,1323801.68,1.985555556
rice,1998,Kharif     ,Puducherry,4945.0,11518,488566.0,1434.05,2.46
rice,1998,Rabi       ,Puducherry,13961.0,30220,1379346.8,4048.69,2.555
rice,1998,Summer     ,Puducherry,5716.0,14863,564740.8,1657.64,2.55
maize,1998,Kharif     ,Assam,19810.0,13965,1957228.0,5744.9,0.608695652
potato,1998,Whole Year ,Assam,76958.0,611077,7603450.4,22317.82,7.230434783
rice,1998,Autumn     ,Assam,594979.0,520605,58783925.2,172543.91,1.055652174
rice,1998,Summer     ,Assam,223913.0,446114,22122604.4,64934.77,1.685217391
rice,1998,Winter     ,Assam,1635230.0,2288114,161560724.0,474216.7,1.395652174
potato,1998,Whole Year ,Assam,9433.0,32437,931980.4,2735.57,3.435652174
rice,1998,Kharif     ,Goa,41000.0,104249,4050800.0,11890.0,2.54
rice,1998,Rabi       ,Goa,15439.0,46925,1525373.2,4477.31,3.04
maize,1998,Kharif     ,Karnataka,450472.0,1542607,44506633.6,130636.88,3.366
maize,1998,Rabi       ,Karnataka,49922.0,101605,4932293.6,14477.38,1.97952381
maize,1998,Summer     ,Karnataka,11974.0,27080,1183031.2,3472.46,2.241904762
potato,1998,Kharif     ,Karnataka,28755.0,317052,2840994.0,8338.95,12.37333333
potato,1998,Rabi       ,Karnataka,4173.0,82124,412292.4,1210.17,18.90714286
potato,1998,Summer     ,Karnataka,1137.0,19387,112335.6,329.73,17.6
potato,1998,Whole Year ,Karnataka,268.0,3910,26478.4,77.72,14.59
rice,1998,Kharif     ,Karnataka,1079193.0,2599170,106624268.4,312965.97,2.310740741
rice,1998,Rabi       ,Karnataka,51782.0,106072,5116061.6,15016.78,2.054285714
rice,1998,Summer     ,Karnataka,295830.0,951569,29228004.0,85790.7,2.99375
rice,1998,Autumn     ,Kerala,120217.0,235849,11877439.6,34862.93,1.856923077
rice,1998,Summer     ,Kerala,57700.0,144872,5700760.0,16733.0,2.116153846
rice,1998,Winter     ,Kerala,174714.0,346022,17261743.2,50667.06,1.937142857
potato,1998,Whole Year ,Kerala,1099.0,11924,108581.2,318.71,11.718
maize,1998,Kharif     ,Meghalaya,17219.0,25272,1701237.2,4993.51,1.457142857
potato,1998,Whole Year ,Meghalaya,20753.0,201059,2050396.4,6018.37,7.738571429
rice,1998,Kharif     ,Meghalaya,105402.0,149742,10413717.6,30566.58,1.51
potato,1998,Whole Year ,Meghalaya,5181.0,17291,511882.8,1502.49,3.302857143
maize,1998,Kharif     ,West Bengal,38519.0,121161,3805677.2,11170.51,2.634
potato,1998,Whole Year ,West Bengal,318199.0,6689636,31438061.2,92277.71,18.95944444
rice,1998,Autumn     ,West Bengal,425002.0,740688,41990197.6,123250.58,1.751111111
rice,1998,Summer     ,West Bengal,1450473.0,4921984,143306732.4,420637.17,3.22
rice,1998,Winter     ,West Bengal,4028620.0,7653780,398027656.0,1168299.8,1.781666667
maize,1999,Kharif     ,Assam,19708.0,14056,2091610.04,5321.16,0.613913043
potato,1999,Whole Year ,Assam,76748.0,699744,8145265.24,20721.96,8.062608696
rice,1999,Autumn     ,Assam,557220.0,514156,59137758.6,150449.4,1.094782609
rice,1999,Summer     ,Assam,294654.0,653783,31271629.02,79556.58,1.990434783
rice,1999,Winter     ,Assam,1793994.0,2692709,190396583.2,484378.38,1.501304348
potato,1999,Whole Year ,Assam,8955.0,30979,950394.15,2417.85,3.409130435
rice,1999,Kharif     ,Goa,40500.0,96281,4298265.0,10935.0,2.38
rice,1999,Rabi       ,Goa,16213.0,43642,1720685.69,4377.51,2.69
rice,1999,Autumn     ,Kerala,121525.0,252876,12897448.25,32811.75,2.081538462
rice,1999,Summer     ,Kerala,58021.0,144551,6157768.73,15665.67,2.292857143
rice,1999,Winter     ,Kerala,170228.0,373259,18066297.64,45961.56,2.097142857
potato,1999,Whole Year ,Kerala,989.0,10698,104962.57,267.03,11.79636364
maize,1999,Kharif     ,Meghalaya,16637.0,24051,1765684.81,4491.99,1.448571429
potato,1999,Whole Year ,Meghalaya,18339.0,143287,1946318.07,4951.53,6.858571429
rice,1999,Kharif     ,Meghalaya,102482.0,156887,10876414.66,27670.14,1.605714286
rice,1999,Rabi       ,Meghalaya,3929.0,13846,416984.77,1060.83,1.755714286
potato,1999,Whole Year ,Meghalaya,5220.0,17591,553998.6,1409.4,3.415714286
rice,1999,Kharif     ,Puducherry,25444.0,59433,2700371.72,6869.88,2.61
maize,1999,Kharif     ,West Bengal,35129.0,69682,3728240.77,9484.83,1.941538462
potato,1999,Summer     ,West Bengal,2478.0,33214,262990.14,669.06,13.4
potato,1999,Winter     ,West Bengal,313373.0,7449103,33258276.49,84610.71,20.56777778
rice,1999,Autumn     ,West Bengal,427155.0,827970,45333960.15,115331.85,1.868888889
rice,1999,Summer     ,West Bengal,1474338.0,4468400,156471491.9,398071.26,2.897222222
rice,1999,Winter     ,West Bengal,4248946.0,8463310,450940639.0,1147215.42,1.906666667
maize,2000,Kharif     ,Andhra Pradesh,430544.0,1107165,42266504.48,111941.44,2.564545455
maize,2000,Rabi       ,Andhra Pradesh,97123.0,473602,9534564.91,25251.98,5.019545455
potato,2000,Whole Year ,Andhra Pradesh,2489.0,14618,244345.13,647.14,6.14375
rice,2000,Kharif     ,Andhra Pradesh,3003673.0,8233806,294870578.4,780954.98,2.7
rice,2000,Rabi       ,Andhra Pradesh,1239053.0,4224208,121637833.0,322153.78,2.939090909
potato,2000,Whole Year ,Andhra Pradesh,1938.0,25467,190253.46,503.88,13.93277778
maize,2000,Kharif     ,Assam,20241.0,14616,1987058.97,5262.66,0.605652174
potato,2000,Whole Year ,Assam,80504.0,668457,7903077.68,20931.04,7.459565217
rice,2000,Autumn     ,Assam,539665.0,557764,52978913.05,140312.9,1.197826087
rice,2000,Summer     ,Assam,329255.0,681027,32322963.35,85606.3,1.825217391
rice,2000,Winter     ,Assam,1777257.0,2759652,174473319.7,462086.82,1.581304348
potato,2000,Whole Year ,Assam,8757.0,30351,859674.69,2276.82,3.435217391
rice,2000,Kharif     ,Goa,41000.0,96568,4024970.0,10660.0,2.36
rice,2000,Rabi       ,Goa,16207.0,45555,1591041.19,4213.82,2.81
maize,2000,Kharif     ,Karnataka,599893.0,1961879,58891495.81,155972.18,3.1712
maize,2000,Rabi       ,Karnataka,57797.0,142674,5673931.49,15027.22,2.397368421
maize,2000,Summer     ,Karnataka,11165.0,31091,1096068.05,2902.9,2.774761905
potato,2000,Whole Year ,Karnataka,38298.0,452462,3759714.66,9957.48,11.70933333
rice,2000,Kharif     ,Karnataka,1120549.0,2792657,110004295.3,291342.74,2.357407407
rice,2000,Rabi       ,Karnataka,52005.0,106335,5105330.85,13521.3,2.064615385
rice,2000,Summer     ,Karnataka,310892.0,947744,30520267.64,80831.92,2.751304348
potato,2000,Whole Year ,Karnataka,3501.0,25771,343693.17,910.26,6.222142857
rice,2000,Autumn     ,Kerala,129752.0,260306,12737753.84,33735.52,1.938461538
rice,2000,Summer     ,Kerala,55258.0,154606,5424677.86,14367.08,2.23
rice,2000,Winter     ,Kerala,162445.0,336416,15947225.65,42235.7,2.042857143
potato,2000,Whole Year ,Kerala,816.0,8963,80106.72,212.16,11.46615385
