Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,maize,1990,36613,1485.0,121.0,16.37
1,Albania,potato,1990,66667,1485.0,121.0,16.37
2,Albania,rice,1990,23333,1485.0,121.0,16.37
6,Albania,maize,1991,29068,1485.0,121.0,15.36
7,Albania,potato,1991,77818,1485.0,121.0,15.36
8,Albania,rice,1991,28538,1485.0,121.0,15.36
12,Albania,maize,1992,24876,1485.0,121.0,16.06
13,Albania,potato,1992,82920,1485.0,121.0,16.06
14,Albania,rice,1992,40000,1485.0,121.0,16.06
18,Albania,maize,1993,24185,1485.0,121.0,16.05
19,Albania,potato,1993,98446,1485.0,121.0,16.05
20,Albania,rice,1993,41786,1485.0,121.0,16.05
23,Albania,maize,1994,25848,1485.0,201.0,16.96
24,Albania,potato,1994,81404,1485.0,201.0,16.96
27,Albania,maize,1995,31300,1485.0,251.0,15.67
28,Albania,potato,1995,111323,1485.0,251.0,15.67
31,Albania,maize,1996,32604,1485.0,313.96,15.64
32,Albania,potato,1996,106138,1485.0,313.96,15.64
35,Albania,maize,1997,31862,1485.0,376.93,15.9
36,Albania,potato,1997,109874,1485.0,376.93,15.9
39,Albania,maize,1998,33416,1485.0,439.89,16.27
40,Albania,potato,1998,127212,1485.0,439.89,16.27
43,Albania,maize,1999,37455,1485.0,502.86,16.57
44,Albania,potato,1999,142018,1485.0,502.86,16.57
47,Albania,maize,2000,38811,1485.0,565.82,16.67
48,Albania,potato,2000,141228,1485.0,565.82,16.67
51,Albania,maize,2001,38135,1485.0,628.79,16.59
52,Albania,potato,2001,148818,1485.0,628.79,16.59
55,Albania,maize,2002,39460,1485.0,691.75,16.47
56,Albania,potato,2002,153868,1485.0,691.75,16.47
59,Albania,maize,2004,46197,1485.0,817.68,16.16
60,Albania,potato,2004,149346,1485.0,817.68,16.16
63,Albania,maize,2005,45442,1485.0,880.64,15.67
64,Albania,potato,2005,167061,1485.0,880.64,15.67
67,Albania,maize,2006,50111,1485.0,943.61,15.92
68,Albania,potato,2006,170745,1485.0,943.61,15.92
71,Albania,maize,2007,46732,1485.0,1006.57,16.67
72,Albania,potato,2007,188902,1485.0,1006.57,16.67
75,Albania,maize,2008,50000,1485.0,1069.54,16.71
76,Albania,potato,2008,193878,1485.0,1069.54,16.71
79,Albania,maize,2009,55693,1485.0,1132.5,16.73
80,Albania,potato,2009,219780,1485.0,1132.5,16.73
83,Albania,maize,2010,66790,1485.0,1311.17,16.52
84,Albania,potato,2010,231111,1485.0,1311.17,16.52
